,counts,words
962,13653,circumstances
963,13647,class
964,13638,limited
965,13628,effort
966,13617,lot
967,13604,anyone
968,13585,knight
969,13576,fifty
970,13568,hill
971,13567,presently
972,13565,ears
973,13556,minute
974,13551,generally
975,13550,using
976,13506,gate
977,13476,ear
978,13447,lines
979,13445,fish
980,13440,fit
981,13422,passing
982,13400,trust
983,13398,footnote
984,13380,bank
985,13379,escape
986,13375,expected
987,13373,drawn
988,13359,dress
989,13352,imp
990,13342,pale
991,13340,village
992,13323,century
993,13321,social
994,13305,shalt
995,13280,date
996,13277,tax
997,13273,peter
998,13268,somewhat
999,13266,darkness
1000,13266,fixed
1001,13258,move
1002,13256,rise
1003,13252,europe
1004,13250,considered
1005,13249,camp
1006,13231,game
1007,13229,running
1008,13212,mark
1009,13206,spoken
1010,13200,count
1011,13197,conversation
1012,13194,steps
1013,13180,equal
1014,13170,month
1015,13145,worse
1016,13122,henry
1017,13120,begin
1018,13090,study
1019,13058,christian
1020,13054,science
1021,13052,looks
1022,13051,main
1023,13044,touch
1024,13016,sake
1025,13013,ladies
1026,13010,george
1027,13001,space
1028,12999,considerable
1029,12997,grave
1030,12996,changed
1031,12993,success
1032,12988,mary
1033,12976,possession
1034,12950,entirely
1035,12940,scarcely
1036,12936,neck
1037,12936,terrible
1038,12869,instant
1039,12868,stranger
1040,12856,journey
1041,12856,clothes
1042,12854,indian
1043,12847,keeping
1044,12838,distribution
1045,12837,adv
1046,12836,marry
1047,12829,picture
1048,12822,shot
1049,12812,ut
1050,12795,names
1051,12777,memory
1052,12735,sign
1053,12732,modern
1054,12725,board
1055,12724,medium
1056,12711,mountains
1057,12710,laugh
1058,12706,trying
1059,12683,aside
1060,12676,heads
1061,12672,ebooks
1062,12667,bird
1063,12659,mountain
1064,12630,authority
1065,12625,lying
1066,12623,forget
1067,12608,pertaining
1068,12604,supposed
1069,12602,tongue
1070,12593,afternoon
1071,12589,happiness
1072,12581,machine
1073,12577,quick
1074,12570,capital
1075,12567,winter
1076,12555,owner
1077,12539,arrived
1078,12529,song
1079,12516,moon
1080,12511,soldiers
1081,12504,female
1082,12501,finally
1083,12498,takes
1084,12462,america
1085,12451,pl
1086,12442,example
1087,12427,gods
1088,12419,spread
1089,12419,emperor
1090,12413,greatest
1091,12393,golden
1092,12363,named
1093,12361,“i
1094,12360,rome
1095,12358,girls
1096,12354,passage
1097,12327,wished
1098,12284,prepared
1099,12266,william
1100,12261,religion
1101,12255,pride
1102,12232,simply
1103,12217,didn't
1104,12213,quality
1105,12213,grass
1106,12198,fool
1107,12198,thank
1108,12188,wrote
1109,12181,group
1110,12181,distributing
1111,12180,mighty
1112,12176,birth
1113,12173,surprise
1114,12163,distribute
1115,12157,shook
1116,12153,official
1117,12146,gentlemen
1118,12142,vain
1119,12125,kill
1120,12122,understood
1121,12116,regard
1122,12108,degree
1123,12088,dry
1124,12084,false
1125,12063,shut
1126,12039,opportunity
1127,12029,safe
1128,12029,proper
1129,12010,difficult
1130,11992,courage
1131,11986,surely
1132,11984,meaning
1133,11979,birds
1134,11978,working
1135,11974,killed
1136,11960,likely
1137,11937,offered
1138,11936,special
1139,11927,vb
1140,11914,sharp
1141,11904,passion
1142,11876,glory
1143,11870,rock
1144,11866,existence
1145,11845,labor
1146,11843,seat
1147,11828,efforts
1148,11819,lies
1149,11813,built
1150,11797,sin
1151,11797,doth
1152,11780,trade
1153,11776,twelve
1154,11775,allowed
1155,11770,forty
1156,11762,spot
1157,11748,gray
1158,11737,pleasant
1159,11730,loss
1160,11728,david
