,words,counts
689,length,216036.0
690,paris,216023.0
691,tree,215879.0
692,tried,215821.0
693,con,215682.0
694,minutes,215676.0
695,provide,215673.0
696,bear,215560.0
697,ago,215406.0
698,pleasure,214849.0
699,various,214717.0
700,das,214157.0
701,island,213320.0
702,particular,212947.0
703,receive,212906.0
704,ik,211456.0
705,boat,211145.0
706,duty,211020.0
707,placed,210786.0
708,lived,210728.0
709,fee,210092.0
710,support,209939.0
711,ran,209838.0
712,trouble,208966.0
713,follow,208306.0
714,society,208212.0
715,according,207026.0
716,grand,207025.0
717,strength,206946.0
718,desire,206729.0
719,notice,206677.0
720,letters,206517.0
721,save,206031.0
722,beginning,205995.0
723,easy,205734.0
724,sie,205675.0
725,chance,205335.0
726,books,204954.0
727,faith,204891.0
728,sweet,204448.0
729,instead,204055.0
730,beauty,203925.0
731,opinion,203878.0
732,greater,203796.0
733,try,203787.0
734,writing,203543.0
735,madame,203517.0
736,doctor,203514.0
737,gentleman,203043.0
738,battle,202954.0
739,latter,202877.0
740,whatever,202523.0
741,sleep,202264.0
742,heavy,202129.0
743,third,202101.0
744,main,201818.0
745,action,201566.0
746,copies,201014.0
747,york,200655.0
748,ill,199618.0
749,enemy,199513.0
750,individual,199323.0
751,standing,198179.0
752,remained,197544.0
753,bound,197171.0
754,carry,197031.0
755,george,196981.0
756,yourself,196869.0
757,lips,196410.0
758,immediately,196057.0
759,queen,195872.0
760,persons,195062.0
761,happened,194777.0
762,born,194644.0
763,hardly,194266.0
764,object,194063.0
765,field,194058.0
766,start,194028.0
767,sans,193433.0
768,smile,192952.0
769,produced,192744.0
770,sister,192395.0
771,thinking,192366.0
772,exclaimed,192222.0
773,broken,191577.0
774,na,191007.0
775,figure,190900.0
776,slowly,190830.0
777,impossible,189635.0
778,illustration,188902.0
779,wide,188712.0
780,provided,188674.0
781,months,188590.0
782,deal,188336.0
783,food,188206.0
784,system,188170.0
785,drew,187830.0
786,fit,187314.0
787,tom,186907.0
788,afraid,186504.0
789,property,186432.0
790,walked,186319.0
791,von,186249.0
792,mouth,186176.0
793,page,186028.0
794,seeing,185903.0
795,east,185682.0
796,stay,185584.0
797,places,185556.0
798,wrong,185293.0
799,seven,185269.0
800,rich,185024.0
801,ich,184753.0
802,thirty,184354.0
803,british,184237.0
804,stone,184043.0
805,single,183936.0
806,tax,183882.0
807,language,183647.0
808,dinner,183626.0
809,appear,183012.0
810,tu,182803.0
811,besides,182630.0
812,knows,182532.0
813,caught,182447.0
814,easily,182371.0
815,condition,182149.0
816,filled,181979.0
817,secret,181764.0
818,wood,181328.0
819,mary,181328.0
820,danger,181299.0
821,middle,181264.0
822,influence,180784.0
823,por,180697.0
824,march,180267.0
825,horses,180171.0
826,presence,180154.0
827,hall,179539.0
828,getting,179518.0
829,week,179141.0
830,thoughts,178945.0
831,simple,178938.0
832,loved,178845.0
833,wall,178295.0
834,uncle,178082.0
835,top,178046.0
836,car,177973.0
837,date,177821.0
838,girls,177820.0
839,parts,177619.0
840,camp,177570.0
841,unto,177237.0
842,hath,176742.0
843,william,176573.0
844,limited,175990.0
845,afterwards,175753.0
846,board,175727.0
847,remain,175569.0
848,struck,175485.0
849,wonder,175349.0
850,wait,175236.0
851,started,175045.0
852,distribution,174944.0
853,chair,174697.0
854,appearance,174105.0
855,cost,173977.0
856,wrote,173822.0
857,regard,173395.0
858,bright,173129.0
859,joy,172972.0
860,giving,172745.0
861,period,172564.0
862,eight,172519.0
863,considerable,172445.0
864,distributing,172424.0
865,fight,172049.0
866,write,171996.0
867,arrived,171977.0
868,walk,171843.0
869,former,171626.0
870,anyone,171412.0
871,charles,170865.0
872,moi,170818.0
873,moved,170739.0
874,evil,170553.0
875,occasion,170521.0
876,laughed,170476.0
877,hill,170339.0
878,quiet,170165.0
879,stopped,170090.0
880,respect,169827.0
881,aux,169683.0
882,command,169576.0
883,president,169511.0
884,effort,169506.0
885,tears,168873.0
886,quickly,168791.0
887,raised,168446.0
888,village,168269.0
889,generally,168266.0
890,christ,168063.0
891,scene,167979.0
892,fresh,167377.0
893,direction,167171.0
894,justice,166936.0
895,una,166890.0
896,learned,166834.0
897,owner,166669.0
898,deux,166502.0
899,covered,166448.0
900,married,166358.0
901,result,166297.0
902,sin,166292.0
903,experience,166258.0
904,merely,165951.0
905,leaving,165422.0
906,music,165328.0
907,youth,165304.0
908,efforts,165036.0
909,mission,164927.0
910,lines,164309.0
911,expression,164136.0
912,due,163872.0
913,grew,163724.0
914,medium,163524.0
915,noble,163111.0
916,garden,163083.0
917,waiting,163026.0
918,worth,162863.0
919,colonel,162835.0
920,showed,162701.0
921,beside,162670.0
922,distribute,162578.0
923,volunteers,162471.0
924,usual,162099.0
925,discovered,162050.0
926,brown,161995.0
927,national,161623.0
928,hot,161558.0
929,henry,161527.0
930,lo,160898.0
931,german,160819.0
932,expected,160718.0
933,hat,160649.0
934,spring,160618.0
935,houses,160081.0
936,christian,160054.0
937,tone,159840.0
938,success,159701.0
939,race,159642.0
940,grace,159625.0
941,piece,159590.0
942,somewhat,159321.0
943,religion,159153.0
944,iii,159006.0
945,sitting,158957.0
946,lives,158915.0
947,nicht,158809.0
948,using,158405.0
949,officers,158364.0
950,entirely,158263.0
951,learn,158087.0
952,news,158067.0
953,fait,158007.0
954,monsieur,157969.0
955,military,157814.0
956,rate,157684.0
957,fast,157653.0
958,reading,157538.0
959,cross,157524.0
960,scarcely,157414.0
961,mit,157155.0
962,watch,156905.0
963,royal,156842.0
964,holy,156821.0
965,perfect,156768.0
966,ancient,156758.0
967,summer,156329.0
968,circumstances,156251.0
969,faire,155862.0
970,political,155756.0
